ODBIORCY_ID_FK;KONTA_STATUSY_SYMBOL;DOKUMENT_ID;DOKUMENT_NUMER;KWOTA_BRUTTO_ORYGINAL;KWOTA_NETTO_ORYGINAL;KWOTA_VAT_ORYGINAL;KWOTA_POZOSTALA;DATA_WYSTAWIENIA;DATA_ZAPLATY;DATA_KSIEGOWANIA
1076735;K;7385523;0135023091;-38,14;-31;-7,14;-38,14;22/05/2014 00:00:00;05/06/2014 00:00:00;08/11/2018 00:00:00
1076898;K;23165447;1705021738;-55,21;-44,88;-10,33;-55,21;16/01/2014 00:00:00;30/01/2014 00:00:00;08/11/2018 00:00:00
1076986;K;23308340;7810490189;-38,75;-31,5;-7,25;-6,57;12/08/2013 00:00:00;26/08/2013 00:00:00;08/11/2018 00:00:00
1077079;K;23153940;0135022180;-4,99;-4,07;-0,92;-4,99;24/01/2014 00:00:00;07/02/2014 00:00:00;08/11/2018 00:00:00
1077090;K;27948160;1705022693;-428,31;-348,22;-80,09;-49,45;18/03/2014 00:00:00;01/04/2014 00:00:00;08/11/2018 00:00:00
1077097;K;23148105;6265234024;-55,64;-45,2;-10,44;-47,53;20/09/2012 00:00:00;05/10/2012 00:00:00;08/11/2018 00:00:00
1077344;K;7361189;7811297069;-32,8;-26,68;-6,12;-31,91;27/06/2014 00:00:00;27/06/2014 00:00:00;08/11/2018 00:00:00
1077430;K;23146728;1335012449;-10,15;-8,26;-1,89;-10,15;06/11/2012 00:00:00;20/11/2012 00:00:00;08/11/2018 00:00:00
1077607;K;28290773;4225019971;-134,11;-109,02;-25,09;-73,84;06/05/2014 00:00:00;06/05/2014 00:00:00;08/11/2018 00:00:00
1077607;K;23324153;4225019972;-432,37;-351,53;-80,84;-295,83;06/05/2014 00:00:00;06/05/2014 00:00:00;08/11/2018 00:00:00
1077607;K;23171488;4225019973;-645,28;-524,62;-120,66;-260,56;06/05/2014 00:00:00;06/05/2014 00:00:00;08/11/2018 00:00:00
1077981;K;7360589;4740045255;-44,05;-35,81;-8,24;-44,04;03/09/2015 00:00:00;03/09/2015 00:00:00;08/11/2018 00:00:00
